Year,Month,Venue,Quiz,Team,Franchise,Score,Position,Place
2014,7,3,q2014-7-3,“I Don’t Quiz On Shabbos!”,,37.5,18,18
2013,10,1,q2013-10-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,47.5,15,15
2013,1,1,q2013-1-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,32,15,15
2013,11,1,q2013-11-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,50,5,5
2013,12,1,q2013-12-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,51,7,7
2013,2,1,q2013-2-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,50,6,6
2013,3,1,q2013-3-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,42.5,9,9
2013,4,1,q2013-4-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,50.5,3,3
2013,5,1,q2013-5-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,48.5,11,11
2013,6,1,q2013-6-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,39.5,14,14
2013,7,1,q2013-7-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,45.5,15,15
2013,8,1,q2013-8-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,48.5,11,11
2013,9,1,q2013-9-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,45.5,15,15
2014,10,1,q2014-10-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,57.5,5,5
2014,12,1,q2014-12-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,47.5,17,17
2014,2,1,q2014-2-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,49,9,9
2014,4,1,q2014-4-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,42,17,17
2014,5,1,q2014-5-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,56.5,6,6
2014,6,1,q2014-6-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,49,17,17
2014,7,1,q2014-7-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,39.5,11,11
2014,9,1,q2014-9-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,46.5,12,12
2015,10,1,q2015-10-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,55,5,5
2015,3,1,q2015-3-1,1.21 Quiz-A-Watts,1.21 Quiz-A-Watts,42.5,24,24
