Date,Total weeks on chart for top 40
1960-03-17,242
1960-03-24,228
1960-03-31,278
1960-04-07,281
1960-04-14,269
1960-04-21,278
1960-04-28,269
1960-05-05,271
1960-05-12,306
1960-05-19,290
1960-05-26,234
1960-06-02,245
1960-06-09,255
1960-06-16,278
1960-06-23,287
1960-06-30,252
1960-07-07,279
1960-07-14,261
1960-07-21,268
1960-07-28,257
1960-08-04,305
1960-08-11,279
1960-08-18,298
1960-08-25,304
1960-09-01,300
1960-09-08,305
1960-09-15,325
1960-09-22,333
1960-09-29,308
1960-10-06,280
1960-10-13,318
1960-10-20,310
1960-10-27,322
1960-11-03,250
1960-11-10,278
1960-11-17,276
1960-11-24,285
1960-12-01,252
1960-12-08,304
1960-12-15,237
1960-12-22,256
1960-12-29,293
1961-01-05,302
1961-01-12,280
1961-01-19,254
1961-01-26,258
1961-02-02,276
1961-02-09,219
1961-02-16,234
1961-02-23,249
1961-03-02,238
1961-03-09,233
1961-03-16,207
1961-03-23,211
1961-03-30,220
1961-04-06,229
1961-04-13,242
1961-04-20,275
1961-04-27,265
1961-05-04,273
1961-05-11,288
1961-05-18,291
1961-05-25,286
1961-06-01,274
1961-06-08,295
1961-06-15,276
1961-06-22,268
1961-06-29,303
1961-07-06,267
1961-07-13,276
1961-07-20,279
1961-07-27,283
1961-08-03,277
1961-08-10,304
1961-08-17,339
1961-08-24,374
1961-08-31,354
1961-09-07,350
1961-09-14,304
1961-09-21,333
1961-09-28,282
1961-10-05,259
1961-10-12,272
1961-10-19,231
1961-10-26,237
1961-11-02,242
1961-11-09,264
1961-11-16,222
1961-11-23,231
1961-11-30,208
1961-12-07,214
1961-12-14,223
1961-12-21,216
1961-12-28,218
1962-01-04,238
1962-01-11,249
1962-01-18,225
1962-01-25,248
1962-02-01,225
1962-02-08,234
1962-02-15,236
1962-02-22,252
1962-03-01,269
1962-03-08,265
1962-03-15,270
1962-03-22,271
1962-03-29,279
1962-04-05,263
1962-04-12,260
1962-04-19,277
1962-04-26,288
1962-05-03,295
1962-05-10,295
1962-05-17,299
1962-05-24,269
1962-05-31,286
1962-06-07,298
1962-06-14,281
1962-06-21,260
1962-06-28,244
1962-07-05,239
1962-07-12,239
1962-07-19,258
1962-07-26,279
1962-08-02,282
1962-08-09,294
1962-08-16,313
1962-08-23,284
1962-08-30,279
1962-09-06,288
1962-09-13,273
1962-09-20,260
1962-09-27,267
1962-10-04,300
1962-10-11,249
1962-10-18,314
1962-10-25,299
1962-11-01,316
1962-11-08,288
1962-11-15,273
1962-11-22,241
1962-11-29,308
1962-12-06,266
1962-12-13,317
1962-12-20,278
1962-12-27,271
1963-01-03,288
1963-01-10,286
1963-01-17,290
1963-01-24,251
1963-01-31,248
1963-02-07,243
1963-02-14,208
1963-02-21,213
1963-02-28,211
1963-03-07,224
1963-03-14,236
1963-03-21,238
1963-03-28,236
1963-04-04,236
1963-04-11,254
1963-04-18,256
1963-04-25,265
1963-05-02,277
1963-05-09,273
1963-05-16,294
1963-05-23,318
1963-05-30,296
1963-06-06,302
1963-06-13,291
1963-06-20,285
1963-06-27,280
1963-07-04,262
1963-07-11,278
1963-07-18,248
1963-07-25,257
1963-08-01,274
1963-08-08,256
1963-08-15,248
1963-08-22,252
1963-08-29,261
1963-09-05,260
1963-09-12,255
1963-09-19,226
1963-09-26,237
1963-10-03,249
1963-10-10,250
1963-10-17,226
1963-10-24,212
1963-10-31,229
1963-11-07,238
1963-11-14,237
1963-11-21,249
1963-11-28,243
1963-12-05,212
1963-12-12,238
1963-12-19,216
1963-12-26,246
1964-01-02,267
1964-01-09,294
1964-01-16,298
1964-01-23,288
1964-01-30,292
1964-02-06,286
1964-02-13,318
1964-02-20,292
1964-02-27,278
1964-03-05,267
1964-03-12,256
1964-03-19,255
1964-03-26,233
1964-04-02,260
1964-04-09,265
1964-04-16,261
1964-04-23,229
1964-04-30,222
1964-05-07,228
1964-05-14,253
1964-05-21,238
1964-05-28,226
1964-06-04,233
1964-06-11,257
1964-06-18,234
1964-06-25,249
1964-07-02,244
1964-07-09,247
1964-07-16,229
1964-07-23,242
1964-07-30,245
1964-08-06,262
1964-08-13,256
1964-08-20,258
1964-08-27,238
1964-09-03,246
1964-09-10,249
1964-09-17,252
1964-09-24,249
1964-10-01,270
1964-10-08,292
1964-10-15,264
1964-10-22,250
1964-10-29,254
1964-11-05,264
1964-11-12,233
1964-11-19,246
1964-11-26,251
1964-12-03,253
1964-12-10,212
1964-12-17,221
1964-12-24,231
1964-12-31,249
1965-01-07,289
1965-01-14,244
1965-01-21,260
1965-01-28,239
1965-02-04,244
1965-02-11,223
1965-02-18,240
1965-02-25,227
1965-03-04,223
1965-03-11,187
1965-03-18,184
1965-03-25,187
1965-04-01,190
1965-04-08,197
